Unit,School / Division,Category,Calendar name,Calendar URL,Platform / CMS,How content is rendered,Feed / API endpoint,Best way to fetch it programmatically,Confidence,Notes
PSOM - Abramson Cancer Center,Medicine,Center / institute,Center site / events,http://www.pennmedicine.org/cancer,Trumba (Penn Medicine),Trumba embed on pennmedicine.org,Trumba .ics / XML feeds,Trumba: use the calendar's .ics or XML/JSON feed (trumba.com/calendars/<webName>.ics). The host page only embeds a spud/iframe.,Verified (page fetched),Clinical cancer center; public events via pennmedicine.org/events (Trumba)
PSOM - Center for Cell Therapy and Transplant,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/i3h/new-center-for-cell-therapy-and-transplant-launches-at-penn-medicine,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar; see events.med.upenn.edu
PSOM - Center for Digital Health,Medicine,Center / institute,Center site — no dedicated calendar,https://cdh.nmsdev.com/home,Custom,Server-rendered static HTML,none,Server-rendered HTML — requests + BeautifulSoup; confirm the selector before relying on it.,Verified (page fetched),No dedicated calendar
PSOM - Center for Epilepsy and Neurodevelopmental Disorders (ENDD),Medicine,Center / institute,Center site / events,https://endd.med.upenn.edu/,WordPress (hosting.med),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Check /events; otherwise PSOM calendar
PSOM - Center for Evidence Based Practice (CEP),Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/CEP/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Genetics of Complex Diseases,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/geneticscomplexdisease/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Global Health,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/globalhealth,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Health Care Transformation and Innovation (CHTI),Medicine,Center / institute,Center site / events,https://chti.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Check /events
PSOM - Colton Center for Autoimmunity at Penn,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/PennColtonCenterAutoimmunity/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - High-Throughput Institute for Discovery (HIT-ID),Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/HIT-ID/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Institute for Regenerative Medicine,Medicine,Center / institute,Center site / events,https://irm.med.upenn.edu,WordPress (hosting.med),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Check /events
PSOM - Institute for RNA Innovation,Medicine,Center / institute,Center site / events,https://rnainnovation.med.upenn.edu/,WordPress (hosting.med),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Check /events
PSOM - Institute of Structural Biology,Medicine,Center / institute,Center site / events,https://isb.med.upenn.edu/,WordPress (hosting.med),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Check /events
PSOM - Lurie Autism Institute,Medicine,Center / institute,Center site / events,https://www.lurieautisminstitute.org/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,External domain
PSOM - Orphan Disease Center,Medicine,Center / institute,Center site / events,https://orphandiseasecenter.org/events,WordPress (hosting.med),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Runs conferences and scientific meetings
PSOM - Penn Center for Cancer Care Innovation (PC3I),Medicine,Center / institute,Center site / events,https://pc3i.upenn.edu,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Check /events
PSOM - Penn Center for Genome Integrity,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/pcgi,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Penn Center for Nutritional Science and Medicine (PenNSAM),Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/pennsam/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Penn Medicine Translational Neuroscience Center (PTNC),Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/ptnc,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Penn Memory Center,Medicine,Center / institute,Center site / events,https://pennmemorycenter.org/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,External domain; runs public programs
PSOM - Penn Transplant Institute,Medicine,Center / institute,Center site / events,https://www.pennmedicine.org/for-patients-and-visitors/find-a-program-or-service/transplant-institute,Trumba (Penn Medicine),Trumba embed on pennmedicine.org,Trumba .ics / XML feeds,Trumba: use the calendar's .ics or XML/JSON feed (trumba.com/calendars/<webName>.ics). The host page only embeds a spud/iframe.,Verified (page fetched),Patient events via pennmedicine.org
PSOM - Population Aging Research Center (PARC),Medicine,Center / institute,Center site / events,http://parc.pop.upenn.edu/,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Seminars listed on pop.upenn.edu
PSOM - Adult Autism Spectrum Program,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/aas/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Airways Biology Initiative,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/airways/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Cancer Data Science (CCDS),Medicine,Center / institute,Center site / events,https://dbei.med.upenn.edu/center-of-excellence/ccds/,WordPress (DBEI),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Events via events.med.upenn.edu/dbei
PSOM - Center for Causal Inference (CCI),Medicine,Center / institute,Center site / events,https://dbei.med.upenn.edu/center-of-excellence/cci/,WordPress (DBEI),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Events via DBEI calendar
PSOM - Center for Health AI and Synthesis of Evidence (CHASE),Medicine,Center / institute,Center site / events,https://dbei.med.upenn.edu/center-of-excellence/chase/,WordPress (DBEI),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Events via DBEI calendar
PSOM - Center for Health Behavior Research,Medicine,Center / institute,Center site / events,https://dbei.med.upenn.edu/center-of-excellence/chbr/,WordPress (DBEI),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Events via DBEI calendar
PSOM - Center for Health Innovations in Reproductive and Perinatal Population Research (CHIRP),Medicine,Center / institute,Center site / events,https://dbei.med.upenn.edu/center-of-excellence/center-for-health-innovations-in-reproductive-and-perinatal-population-research-chirp/,WordPress (DBEI),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Events via DBEI calendar
PSOM - Center for Healthcare Improvement & Patient Safety (CHIPS),Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/chips/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Human Phenomic Science,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/chps/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Interdisciplinary Research on Nicotine Addiction (CIRNA),Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/cirna/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Advanced Metabolic Imaging in Precision Medicine (CAMIPM),Medicine,Center / institute,Center site / events,https://www.med.upenn.edu/CAMIPM/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Seminar series appears on events.med.upenn.edu/radiology
PSOM - Center for Neuromodulation in Depression and Stress,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/cnds/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Real-World Effectiveness and Safety of Therapeutics (CREST),Medicine,Center / institute,Center site / events,https://dbei.med.upenn.edu/center-of-excellence/crest/research/,WordPress (DBEI),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Events via DBEI calendar
PSOM - Center for Preventive Ophthalmology and Biostatistics,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/cpob/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Psychotherapy Research,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/cpr/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Resuscitation Science,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/resuscitation,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Statistics in Big Data (CSBD),Medicine,Center / institute,Center site / events,https://dbei.med.upenn.edu/center-of-excellence/csbbd/,WordPress (DBEI),Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Events via DBEI calendar
PSOM - Center for Studies of Addictions,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/csa/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for the Prevention of Suicide,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/suicide/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Center for Weight and Eating Disorders,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/weight/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Eldridge Reeves Johnson Foundation,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/jf/index.html,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Mood Disorders Treatment Center,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/mood/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Neurodevelopment & Psychosis Section (BBL),Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/bbl/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Parkinson's Disease and Movement Disorders Center,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/pdmdc/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Paul F. Harron Jr. Lung Center,Medicine,Center / institute,Center site / events,http://www.pennmedicine.org/for-patients-and-visitors/find-a-program-or-service/harron-lung-center,Trumba (Penn Medicine),Trumba embed on pennmedicine.org,Trumba .ics / XML feeds,Trumba: use the calendar's .ics or XML/JSON feed (trumba.com/calendars/<webName>.ics). The host page only embeds a spud/iframe.,Verified (page fetched),Patient events via pennmedicine.org
PSOM - Penn Center for Clinical Immunology,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/pcci,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Penn Center for Musculoskeletal Disorders,Medicine,Center / institute,Center site / events,http://www.med.upenn.edu/pcmd,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Runs an annual symposium
PSOM - Penn Center for Women's Behavioral Wellness,Medicine,Center / institute,Center site — no dedicated calendar,http://www.med.upenn.edu/womenswellness/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Penn Neurodegeneration Genomics Center,Medicine,Center / institute,Center site / events,https://www.penn-ngc.org/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,External domain
PSOM - Total Recovery at Penn Medicine,Medicine,Center / institute,Center site — no dedicated calendar,https://www.med.upenn.edu/recovery/,Static HTML (PSOM template),Server-rendered static HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
Law - Center for Tax Law & Policy,Law,Center,Seminar Series,https://www.law.upenn.edu/institutes/taxlaw/seminar-series.php,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Past seminars sub-page
Law - Institute for Law & Philosophy,Law,Institute,Workshops,https://www.law.upenn.edu/institutes/ilp/workshops.php,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Law - Legal History Consortium,Law,Consortium,Workshops & Lectures,https://www.law.upenn.edu/institutes/legalhistory/workshops-lectures.php,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Law - Centers & Institutes index,Law,School,Centers & Institutes,https://www.law.upenn.edu/institutes/,Static PHP,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Each institute has its own events.php
Law - Lectures & conferences scholarship archive,Law,School,"Law School Lectures, Addresses, Conferences and Workshops",https://scholarship.law.upenn.edu/lectures/index.7.html,Digital Commons (bepress),Server-rendered HTML,Digital Commons OAI-PMH / RSS,Server-rendered HTML — requests + BeautifulSoup; confirm the selector before relying on it.,Verified (page fetched),"Archive of past events, not upcoming"
Penn CIS - Logic and Computation Group,Engineering,Group,Seminar series,https://www.cis.upenn.edu/~lc/,Static HTML,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Per-year seminar pages
Penn CIS - Distributed Systems Laboratory,Engineering,Lab,Lab site,https://dsl.cis.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,No dedicated calendar
Penn CIS - Center for Human Modeling and Simulation,Engineering,Center,Lab site,https://cg.cis.upenn.edu/hms.html,Static HTML,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
Wharton - Research Data Services (WRDS),Wharton,Center,CFRC and WRDS events,https://wrds-www.wharton.upenn.edu/pages/events/cfrc/,Custom (WRDS platform),"Server-rendered HTML, partly login-gated",none,Server-rendered HTML — requests + BeautifulSoup; confirm the selector before relying on it.,Verified (page fetched),
Wharton - Customer Analytics (WCAI),Wharton,Center,Events archive,https://wcai.wharton.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Now folded into AI & Analytics Initiative
Wharton - Lauder Institute,Wharton,Institute,Admissions Events,https://lauder.wharton.upenn.edu/admissions-events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn Civic House,University Life,Student life,Upcoming Events,https://civichouse.upenn.edu/students/upcoming-events/,WordPress,Server-rendered HTML; page had no live listings at time of check,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
College House - W.E.B. Du Bois,College Houses,Residential,W.E.B. Du Bois House Event Calendar,https://collegehouses.upenn.edu/group/du-bois/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Fisher Hassenfeld,College Houses,Residential,Fisher Hassenfeld House Event Calendar,https://collegehouses.upenn.edu/group/fisher-hassenfeld/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Gregory,College Houses,Residential,Gregory House Event Calendar,https://collegehouses.upenn.edu/group/gregory/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Gutmann,College Houses,Residential,Gutmann House Event Calendar,https://collegehouses.upenn.edu/group/gutmann/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Harnwell,College Houses,Residential,Harnwell House Event Calendar,https://collegehouses.upenn.edu/group/harnwell/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Harrison,College Houses,Residential,Harrison House Event Calendar,https://collegehouses.upenn.edu/group/harrison/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Hill,College Houses,Residential,Hill House Event Calendar,https://collegehouses.upenn.edu/group/hill/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Kings Court English,College Houses,Residential,Kings Court English House Event Calendar,https://collegehouses.upenn.edu/group/kings-court-english/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Lauder,College Houses,Residential,Lauder House Event Calendar,https://collegehouses.upenn.edu/group/lauder/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Riepe,College Houses,Residential,Riepe House Event Calendar,https://collegehouses.upenn.edu/group/riepe/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Rodin,College Houses,Residential,Rodin House Event Calendar,https://collegehouses.upenn.edu/group/rodin/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Stouffer,College Houses,Residential,Stouffer House Event Calendar,https://collegehouses.upenn.edu/group/stouffer/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
College House - Ware,College Houses,Residential,Ware House Event Calendar,https://collegehouses.upenn.edu/group/ware/calendar,Drupal 11 (College Houses & Academic Services),Server-rendered month grid,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),13 houses; pattern /group/<slug>/calendar confirmed on Lauder
Penn Institute for Regenerative Medicine,Medicine,Institute,Events,https://irm.med.upenn.edu/events/,WordPress (hosting.med),Server-rendered HTML with Upcoming/Past sections,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,"Distinguished Seminar Series, Stem Cell Club"
Penn Institute for RNA Innovation,Medicine,Institute,Events (stub),https://rnainnovation.med.upenn.edu/events/,Static HTML (PSOM template),Server-rendered stub; points to Archived Events,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No live listings at time of checkVagelos Institute for Energy Science & Technology
Penn Vet - Penn Vet Cancer Center,Vet,Center,Center site,https://www.vet.upenn.edu/research/research-centers-and-institute/penn-vet-cancer-center/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Events post to the Penn Vet school calendar
Penn Vet - Working Dog Center,Vet,Center,Tours and events,https://www.vet.upenn.edu/research/centers-initiatives/penn-vet-working-dog-center/,WordPress + The Events Calendar,Server-rendered HTML,?ical=1 on the school calendar,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Public tours listed on the Penn Vet events calendar
Penn Vet - Center for Animal Transgenesis & Germ Cell Research,Vet,Center,Center site,https://www.vet.upenn.edu/research/centers-laboratories/center/center-for-animal-transgenesis-and-germ-cell-research,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),No dedicated calendar
Penn Vet - Research Centers index,Vet,School,Research Centers and Institute,https://www.vet.upenn.edu/research/research-centers-and-institute/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Index page
Penn Dental - Center for Innovation & Precision Dentistry,Dental,Center,CiPD News & Events,https://www.dental.upenn.edu/research/center-for-innovation-precision-dentistry/news-events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Annual CiPD Symposium
Penn Dental - Center for Integrative Global Oral Health,Dental,Center,CIGOH News & Events,https://www.dental.upenn.edu/research/center-for-integrative-global-oral-health/newsevents/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
